F S   UID     PID    PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
1 S     0   43195       2  0  58   - -     0 -      ?        00:00:00 psimon
4 S  2858   51418       1  0  80   0 -  5371 -      ?        00:00:09 systemd
5 S  2858   51425   51418  0  80   0 -  5352 -      ?        00:00:00 (sd-pam)
0 S  2858   51438   51418  0  80   0 - 27616 -      ?        00:00:00 pipewire
0 S  2858   51439   51418  0  80   0 - 24764 -      ?        00:00:00 pipewire
0 S  2858   51440   51418  0  80   0 - 101368 -     ?        00:00:01 wireplumber
0 S  2858   51442   51418  0  80   0 - 27681 -      ?        00:00:00 pipewire-pulse
0 S  2858   51464   51418  0  80   0 -  2363 -      ?        00:00:00 dbus-daemon
1 S  2858   52481       1  0  80   0 -  4145 -      ?        00:00:01 tmux: server
0 S  2858   52482   52481  0  80   0 -  3142 -      pts/3    00:00:00 bash
0 S  2858   52842   52481  0  80   0 -  3142 -      pts/4    00:00:00 bash
0 S  2858   52866   52481  0  80   0 -  3142 -      pts/5    00:00:00 bash
0 S  2858   53810   52866  0  80   0 -  7342 -      pts/5    00:00:00 vim
0 T  2858   53812   52842  0  80   0 -  7380 -      pts/4    00:00:00 vim
0 T  2858   53814   52842  0  80   0 -  7382 -      pts/4    00:00:00 vim
0 T  2858   53822   52842  0  80   0 -  7382 -      pts/4    00:00:00 vim
0 S  2858   53876   52842  0  80   0 -  7366 -      pts/4    00:00:00 vim
0 S  2858   71076   52481  0  80   0 -  3142 -      pts/6    00:00:00 bash
0 S  2858   71415   52481  0  80   0 -  3142 -      pts/7    00:00:00 bash
0 S  2858   71426   52481  0  80   0 -  3142 -      pts/8    00:00:00 bash
0 T  2858   71535   71426  0  80   0 -  7349 -      pts/8    00:00:00 vim
0 T  2858   71576   71426  0  80   0 -  7352 -      pts/8    00:00:00 vim
0 T  2858   71585   71415  0  80   0 -  7367 -      pts/7    00:00:00 vim
4 S  2320  520303       1  0  80   0 -  5255 -      ?        00:00:01 systemd
5 S  2320  520309  520303  0  80   0 -  5352 -      ?        00:00:00 (sd-pam)
0 S  2320  520322  520303  0  80   0 - 27616 -      ?        00:00:00 pipewire
0 S  2320  520323  520303  0  80   0 - 24764 -      ?        00:00:00 pipewire
0 S  2320  520324  520303  0  80   0 - 101370 -     ?        00:00:00 wireplumber
0 S  2320  520328  520303  0  80   0 - 27681 -      ?        00:00:00 pipewire-pulse
0 S  2320  520344  520303  0  80   0 -  2363 -      ?        00:00:00 dbus-daemon
0 S  2320  520437       1  0  80   0 - 319108 -     ?        00:02:00 metric-agent
4 S     0  598893       1  0  80   0 - 10053 -      ?        00:00:00 cupsd
4 S   132  598894       1  0  80   0 - 108165 -     ?        00:00:01 cups-browsed
4 S     7  598921  598893  0  80   0 -  4209 -      ?        00:00:00 dbus
4 S     7  598922  598893  0  80   0 -  4209 -      ?        00:00:00 dbus
1 I     0  600728       2  0  80   0 -     0 -      ?        00:00:01 kworker/1:0-mm_percpu_wq
1 I     0  603893       2  0  80   0 -     0 -      ?        00:00:14 kworker/0:0-events
1 I     0  603904       2  0  80   0 -     0 -      ?        00:00:00 kworker/11:2-mm_percpu_wq
1 I     0  607701       2  0  80   0 -     0 -      ?        00:00:00 kworker/6:0-events
1 I     0  610350       2  0  80   0 -     0 -      ?        00:00:00 kworker/2:3-cgroup_release
1 I     0  610912       2  0  80   0 -     0 -      ?        00:00:01 kworker/u32:1-efi_rts_wq
1 I     0  610976       2  0  80   0 -     0 -      ?        00:00:00 kworker/4:3-cgroup_free
1 I     0  611401       2  0  80   0 -     0 -      ?        00:00:00 kworker/9:2-cgroup_free
1 I     0  612860       2  0  80   0 -     0 -      ?        00:00:00 kworker/6:1-events
1 I     0  613204       2  0  80   0 -     0 -      ?        00:00:00 kworker/8:0-events
1 I     0  613339       2  0  80   0 -     0 -      ?        00:00:00 kworker/11:3-cgroup_free
1 I     0  613363       2  0  80   0 -     0 -      ?        00:00:00 kworker/15:1-events
1 I     0  613639       2  0  80   0 -     0 -      ?        00:00:00 kworker/15:0-cgroup_free
1 I     0  613657       2  0  80   0 -     0 -      ?        00:00:00 kworker/4:2-events
1 I     0  617486       2  0  80   0 -     0 -      ?        00:00:00 kworker/14:2-cgroup_release
1 I     0  619958       2  0  80   0 -     0 -      ?        00:00:00 kworker/13:2-cgroup_release
1 I     0  629812       2  0  80   0 -     0 -      ?        00:00:00 kworker/2:0-cgroup_free
1 I     0  631108       2  0  80   0 -     0 -      ?        00:00:01 kworker/u34:0-flush-8:0
1 I     0  632103       2  0  80   0 -     0 -      ?        00:00:00 kworker/0:2
1 I     0  632122       2  0  80   0 -     0 -      ?        00:00:00 kworker/5:0-events
1 I     0  632140       2  0  80   0 -     0 -      ?        00:00:00 kworker/5:3-cgroup_release
1 I     0  632157       2  0  80   0 -     0 -      ?        00:00:00 kworker/7:3-mm_percpu_wq
1 I     0  632592       2  0  80   0 -     0 -      ?        00:00:01 kworker/u32:2-efi_rts_wq
1 I     0  632676       2  0  80   0 -     0 -      ?        00:00:00 kworker/u34:2-events_unbound
1 I     0  632751       2  0  80   0 -     0 -      ?        00:00:00 kworker/u33:0-flush-8:0
1 I     0  632801       2  0  80   0 -     0 -      ?        00:00:00 kworker/3:3-cgroup_free
